# TBLASTN 2.10.0+
# Query: EOG092D005G
# Database: ./tmp/BUSCO_1585325322
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 33 hits found
EOG092D005G	NODE_1_length_1390996_cov_55.238728	64.826	634	168	7	429	1008	920601	918703	0.0	717
EOG092D005G	NODE_1_length_1390996_cov_55.238728	60.577	624	163	12	1036	1576	918510	916639	0.0	681
EOG092D005G	NODE_1_length_1390996_cov_55.238728	47.685	432	144	10	40	389	922122	920827	1.02e-79	296
EOG092D005G	NODE_1_length_1390996_cov_55.238728	53.957	278	94	5	2809	3052	909084	908251	3.78e-69	261
EOG092D005G	NODE_1_length_1390996_cov_55.238728	29.773	618	347	15	1038	1572	920562	918721	1.95e-50	200
EOG092D005G	NODE_1_length_1390996_cov_55.238728	29.889	542	293	15	1222	1683	919851	918247	5.63e-47	188
EOG092D005G	NODE_1_length_1390996_cov_55.238728	74.444	90	23	0	1594	1683	916395	916126	3.62e-38	159
EOG092D005G	NODE_1_length_1390996_cov_55.238728	32.593	270	163	5	263	527	919002	918235	1.25e-25	117
EOG092D005G	NODE_1_length_1390996_cov_55.238728	38.793	232	71	4	2197	2357	912486	911791	1.43e-25	117
EOG092D005G	NODE_1_length_1390996_cov_55.238728	31.855	248	156	5	643	881	917829	917098	8.70e-24	112
EOG092D005G	NODE_1_length_1390996_cov_55.238728	27.136	398	220	13	936	1297	917757	916666	7.20e-21	102
EOG092D005G	NODE_1_length_1390996_cov_55.238728	26.303	403	213	13	940	1302	919797	918721	1.42e-20	101
EOG092D005G	NODE_1_length_1390996_cov_55.238728	32.414	145	77	2	1525	1669	917715	917344	1.06e-12	75.1
EOG092D005G	NODE_1_length_1390996_cov_55.238728	25.726	241	163	5	297	525	916830	916120	1.64e-12	74.7
EOG092D005G	NODE_1_length_1390996_cov_55.238728	37.624	101	51	3	433	526	917565	917278	2.40e-11	70.9
EOG092D005G	NODE_1_length_1390996_cov_55.238728	49.275	69	35	0	940	1008	921114	920908	3.93e-11	70.1
EOG092D005G	NODE_1_length_1390996_cov_55.238728	39.000	100	55	3	1303	1397	920586	920290	1.04e-09	65.1
EOG092D005G	NODE_1_length_1390996_cov_55.238728	50.000	130	49	5	2016	2129	913179	912790	3.37e-09	63.5
EOG092D005G	NODE_1_length_1390996_cov_55.238728	38.235	102	54	3	1036	1132	916386	916093	8.89e-09	62.0
EOG092D005G	NODE_1_length_1390996_cov_55.238728	40.789	76	43	1	64	137	917700	917473	2.75e-08	60.5
EOG092D005G	NODE_1_length_1390996_cov_55.238728	38.158	76	46	1	64	139	919737	919513	3.65e-08	60.1
EOG092D005G	NODE_1_length_1390996_cov_55.238728	29.012	162	102	6	1304	1459	918525	918061	4.54e-08	59.7
EOG092D005G	NODE_1_length_1390996_cov_55.238728	25.532	141	93	2	1245	1373	916596	916174	4.86e-08	59.7
EOG092D005G	NODE_1_length_1390996_cov_55.238728	39.175	97	46	3	269	356	917850	917572	1.41e-07	58.2
EOG092D005G	NODE_1_length_1390996_cov_55.238728	28.431	204	136	7	687	881	922050	921442	1.82e-07	57.8
EOG092D005G	NODE_1_length_1390996_cov_55.238728	22.054	331	188	13	1036	1303	921894	920923	2.54e-07	57.4
EOG092D005G	NODE_1_length_1390996_cov_55.238728	42.017	119	58	5	734	846	918516	918175	3.41e-07	57.0
EOG092D005G	NODE_1_length_1390996_cov_55.238728	29.605	152	95	5	1234	1376	922128	921682	2.30e-06	54.3
EOG092D005G	NODE_1_length_1390996_cov_55.238728	38.776	98	49	3	730	821	916404	916126	5.86e-06	52.8
EOG092D005G	NODE_1_length_1390996_cov_55.238728	34.043	94	55	3	1595	1683	920574	920299	3.88e-05	50.1
EOG092D005G	NODE_1_length_1390996_cov_55.238728	42.000	50	29	0	1525	1574	921069	920920	5.46e-04	46.2
EOG092D005G	NODE_323_length_418_cov_0.845361	41.912	136	56	3	1464	1576	417	10	4.53e-18	83.6
EOG092D005G	NODE_323_length_418_cov_0.845361	33.929	56	37	0	297	352	201	34	2.17e-04	44.3
# TBLASTN 2.10.0+
# Query: EOG092D0072
# Database: ./tmp/BUSCO_1585325322
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 6 hits found
EOG092D0072	NODE_39_length_475272_cov_55.209130	61.223	1439	408	18	1651	2939	323339	319023	0.0	1292
EOG092D0072	NODE_39_length_475272_cov_55.209130	65.918	534	120	7	1178	1649	325142	323541	0.0	655
EOG092D0072	NODE_39_length_475272_cov_55.209130	45.533	582	166	19	40	470	329981	328236	1.80e-91	335
EOG092D0072	NODE_39_length_475272_cov_55.209130	62.011	358	113	4	764	1098	326597	325524	1.28e-79	296
EOG092D0072	NODE_39_length_475272_cov_55.209130	47.849	186	71	6	2958	3117	318617	318060	1.60e-23	110
EOG092D0072	NODE_39_length_475272_cov_55.209130	37.805	164	58	5	574	693	327398	326907	1.43e-14	81.3
# TBLASTN 2.10.0+
# Query: EOG092D00HH
# Database: ./tmp/BUSCO_1585325322
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 6 hits found
EOG092D00HH	NODE_48_length_341446_cov_55.598566	58.817	930	261	25	1563	2370	132924	135713	0.0	917
EOG092D00HH	NODE_48_length_341446_cov_55.598566	49.235	784	245	17	1	631	126248	128599	1.03e-159	555
EOG092D00HH	NODE_48_length_341446_cov_55.598566	54.632	421	121	10	1193	1543	131510	132772	1.53e-113	407
EOG092D00HH	NODE_48_length_341446_cov_55.598566	46.572	423	122	12	632	950	128837	130105	2.26e-74	278
EOG092D00HH	NODE_48_length_341446_cov_55.598566	53.906	128	25	4	989	1082	130400	130783	1.58e-17	90.9
EOG092D00HH	NODE_48_length_341446_cov_55.598566	50.562	89	34	2	1083	1161	130955	131221	2.32e-08	60.5
# TBLASTN 2.10.0+
